,Company Name,state,green,newsweek_score,fit
453,IHEARTMEDIA,TX,55.424,0.0,0.21920946419766615
454,INGREDION,IL,62.311,0.0,0.2543163977114946
455,INSIGHT ENTERPRISES,AZ,54.195,0.0,0.212944556213276
456,INTL FCSTONE,NY,69.002,0.0,0.2884242083897328
457,KELLY SERVICES,MI,55.861000000000004,0.0,0.22143710031579353
458,KINDRED HEALTHCARE,KY,44.059,0.0,0.16127563242989199
461,LEAR,MI,55.861000000000004,0.0,0.22143710031579353
462,LENNAR,FL,57.501999999999995,0.0,0.22980220528111836
463,LIFEPOINT HEALTH,TN,47.974999999999994,0.0,0.18123769887974708
464,LIVE NATION ENTERTAINMENT,CA,66.071,0.0,0.2734832439452677
465,NCR,GA,55.28,0.0,0.21847541476743657
466,NETAPP,CA,66.071,0.0,0.2734832439452677
467,NGL ENERGY PARTNERS,OK,44.391999999999996,0.0,0.16297312173729794
468,NVR,VA,59.718999999999994,0.0,0.24110350796736166
470,PATTERSON,MN,54.982,0.0,0.21695634025210028
471,PAYPAL HOLDINGS,CA,66.071,0.0,0.2734832439452677
473,PLAINS GP HOLDINGS,TX,55.424,0.0,0.21920946419766615
474,PRICELINE GROUP,CT,60.97,0.0,0.24748056239248142
476,RAYMOND JAMES FINANCIAL,FL,57.501999999999995,0.0,0.22980220528111836
477,REALOGY HOLDINGS,NJ,65.735,0.0,0.27177046194139864
478,RELIANCE STEEL & ALUMINUM,CA,66.071,0.0,0.2734832439452677
479,ROBERT HALF INTERNATIONAL,CA,66.071,0.0,0.2734832439452677
480,SANMINA,CA,66.071,0.0,0.2734832439452677
482,SEABOARD,KS,48.141000000000005,0.0,0.18208389475070627
483,SEARS HOLDINGS,IL,62.311,0.0,0.2543163977114946
485,SYNCHRONY FINANCIAL,CT,60.97,0.0,0.24748056239248142
486,SYNNEX,CA,66.071,0.0,0.2734832439452677
488,TARGA RESOURCES,TX,55.424,0.0,0.21920946419766615
489,TECH DATA,FL,57.501999999999995,0.0,0.22980220528111836
490,TENET HEALTHCARE,TX,55.424,0.0,0.21920946419766615
491,TOLL BROTHERS,PA,56.41300000000001,0.0,0.22425095646500706
492,TRACTOR SUPPLY,TN,47.974999999999994,0.0,0.18123769887974708
493,UNIVERSAL HEALTH SERVICES,PA,56.41300000000001,0.0,0.22425095646500706
494,VERITIV,GA,55.28,0.0,0.21847541476743657
495,WELLCARE HEALTH PLANS,FL,57.501999999999995,0.0,0.22980220528111836
496,WESTROCK,GA,55.28,0.0,0.21847541476743657
497,WINDSTREAM HOLDINGS,AR,47.60300000000001,0.0,0.17934140451832067
498,WORLD FUEL SERVICES,FL,57.501999999999995,0.0,0.22980220528111836
499,XPO LOGISTICS,CT,60.97,0.0,0.24748056239248142
