question,response,price_chopper_zscore
3rd Oldest Child Age,27,0.0
3rd Oldest Child Age,28,0.0
3rd Oldest Child Age,29,0.0
3rd Oldest Child Age,30,0.0
3rd Oldest Child Age,31,0.0
3rd Oldest Child Age,32,0.0
8th Oldest Child Age,44,0.0
8th Oldest Child Age,58,0.0
8th Oldest Child Age,46,0.0
10th Oldest Child Age,35,0.0
Country of Birth,Qatar,0.0
Country of Birth,Reunion,0.0
10th Oldest Child Age,37,0.0
Country of Birth,Rwanda,0.0
10th Oldest Child Age,38,0.0
10th Oldest Child Age,39,0.0
Country of Birth,Saint Helena,0.0
10th Oldest Child Age,40,0.0
Country of Birth,Saint Pierre and Miquelon,0.0
10th Oldest Child Age,41,0.0
10th Oldest Child Age,42,0.0
10th Oldest Child Age,43,0.0
10th Oldest Child Age,44,0.0
Country of Birth,San Marino,0.0
10th Oldest Child Age,45,0.0
Country of Birth,Sao Tome and Principe,0.0
10th Oldest Child Age,46,0.0
Country of Birth,Senegal,0.0
10th Oldest Child Age,47,0.0
10th Oldest Child Age,48,0.0
Country of Birth,Seychelles,0.0
10th Oldest Child Age,36,0.0
Country of Birth,Pitcairn,0.0
10th Oldest Child Age,50,0.0
10th Oldest Child Age,34,0.0
Country of Birth,Nauru,0.0
10th Oldest Child Age,21,0.0
10th Oldest Child Age,22,0.0
10th Oldest Child Age,23,0.0
10th Oldest Child Age,24,0.0
Country of Birth,Netherlands Antilles,0.0
10th Oldest Child Age,25,0.0
10th Oldest Child Age,26,0.0
10th Oldest Child Age,27,0.0
Country of Birth,New Caledonia,0.0
Country of Birth,Niger,0.0
10th Oldest Child Age,28,0.0
10th Oldest Child Age,29,0.0
Country of Birth,Niue,0.0
10th Oldest Child Age,30,0.0
Country of Birth,Norfolk Island,0.0
10th Oldest Child Age,31,0.0
Country of Birth,Northern Mariana Islands,0.0
10th Oldest Child Age,32,0.0
Country of Birth,Papua New Guinea,0.0
10th Oldest Child Age,33,0.0
10th Oldest Child Age,49,0.0
10th Oldest Child Age,51,0.0
Country of Birth,Benin,0.0
10th Oldest Child Age,66,0.0
Country of Birth,Virgin Islands, British,0.0
10th Oldest Child Age,67,0.0
10th Oldest Child Age,68,0.0
Country of Birth,Wallis and Futuna,0.0
10th Oldest Child Age,69,0.0
Country of Birth,Western Sahara,0.0
10th Oldest Child Age,70,0.0
10th Oldest Child Age,71,0.0
10th Oldest Child Age,72,0.0
10th Oldest Child Age,73,0.0
10th Oldest Child Age,74,0.0
10th Oldest Child Age,75,0.0
10th Oldest Child Age,76,0.0
10th Oldest Child Age,77,0.0
10th Oldest Child Age,78,0.0
10th Oldest Child Age,79,0.0
10th Oldest Child Age,80,0.0
Generation,Other,0.0
Birth Year,1920.0,0.0
None of these (mixed race),Yes,0.0
None of these (mixed race),No,0.0
Country of Birth,Vanuatu,0.0
Country of Birth,Tuvalu,0.0
Country of Birth,Solomon Islands,0.0
10th Oldest Child Age,65,0.0
10th Oldest Child Age,52,0.0
10th Oldest Child Age,53,0.0
Country of Birth,South Georgia and the South Sandwich Islands,0.0
10th Oldest Child Age,54,0.0
10th Oldest Child Age,55,0.0
Country of Birth,Svalbard and Jan Mayen,0.0
Country of Birth,Swaziland,0.0
10th Oldest Child Age,56,0.0
10th Oldest Child Age,57,0.0
Country of Birth,Tajikistan,0.0
10th Oldest Child Age,58,0.0
10th Oldest Child Age,59,0.0
Country of Birth,Timor-Leste,0.0
10th Oldest Child Age,60,0.0
10th Oldest Child Age,61,0.0
Country of Birth,Tokelau,0.0
10th Oldest Child Age,62,0.0
10th Oldest Child Age,63,0.0
Country of Birth,Turkmenistan,0.0
10th Oldest Child Age,64,0.0
Country of Birth,Turks and Caicos Islands,0.0
Country of Birth,Namibia,0.0
10th Oldest Child Age,20,0.0
10th Oldest Child Age,19,0.0
Country of Birth,Cote d'Ivoire,0.0
Country of Birth,Croatia,0.0
8th Oldest Child Age,62,0.0
8th Oldest Child Age,63,0.0
Country of Birth,Djibouti,0.0
8th Oldest Child Age,64,0.0
Country of Birth,Dominica,0.0
8th Oldest Child Age,65,0.0
Country of Birth,Equatorial Guinea,0.0
8th Oldest Child Age,66,0.0
Country of Birth,Eritrea,0.0
8th Oldest Child Age,67,0.0
Country of Birth,Falkland Islands (Malvinas),0.0
Country of Birth,Faroe Islands,0.0
8th Oldest Child Age,68,0.0
8th Oldest Child Age,69,0.0
Country of Birth,Fiji,0.0
8th Oldest Child Age,70,0.0
Country of Birth,French Guiana,0.0
8th Oldest Child Age,71,0.0
Country of Birth,French Polynesia,0.0
8th Oldest Child Age,72,0.0
8th Oldest Child Age,61,0.0
8th Oldest Child Age,60,0.0
Country of Birth,Mozambique,0.0
8th Oldest Child Age,59,0.0
8th Oldest Child Age,47,0.0
8th Oldest Child Age,48,0.0
Country of Birth,Bouvet Island,0.0
Country of Birth,British Indian Ocean Territory,0.0
8th Oldest Child Age,49,0.0
8th Oldest Child Age,50,0.0
Country of Birth,Brunei Darussalam,0.0
8th Oldest Child Age,51,0.0
Country of Birth,Burkina Faso,0.0
8th Oldest Child Age,52,0.0
Country of Birth,Burundi,0.0
8th Oldest Child Age,53,0.0
Country of Birth,Central African Republic,0.0
8th Oldest Child Age,54,0.0
8th Oldest Child Age,55,0.0
Country of Birth,Chad,0.0
8th Oldest Child Age,56,0.0
8th Oldest Child Age,57,0.0
Country of Birth,Cocos (Keeling) Islands,0.0
Oldest Child Age,52,0.0
Country of Birth,Comoros,0.0
Country of Birth,French Southern Territories,0.0
8th Oldest Child Age,73,0.0
Country of Birth,Gambia,0.0
8th Oldest Child Age,74,0.0
age,98.0,0.0
10th Oldest Child Age,7,0.0
Country of Birth,Madagascar,0.0
10th Oldest Child Age,8,0.0
Country of Birth,Malawi,0.0
10th Oldest Child Age,10,0.0
10th Oldest Child Age,11,0.0
Country of Birth,Mali,0.0
Country of Birth,Malta,0.0
10th Oldest Child Age,13,0.0
10th Oldest Child Age,14,0.0
Country of Birth,Martinique,0.0
10th Oldest Child Age,15,0.0
Country of Birth,Mauritania,0.0
10th Oldest Child Age,16,0.0
Country of Birth,Mauritius,0.0
10th Oldest Child Age,17,0.0
Country of Birth,Micronesia, Federated States of,0.0
Country of Birth,Monaco,0.0
10th Oldest Child Age,18,0.0
Country of Birth,Montserrat,0.0
10th Oldest Child Age,6,0.0
Country of Birth,Macao,0.0
10th Oldest Child Age,5,0.0
Country of Birth,Guinea-Bissau,0.0
Country of Birth,Georgia,0.0
8th Oldest Child Age,75,0.0
Country of Birth,Gibraltar,0.0
Country of Birth,Greenland,0.0
8th Oldest Child Age,76,0.0
8th Oldest Child Age,77,0.0
Country of Birth,Guernsey,0.0
8th Oldest Child Age,78,0.0
Country of Birth,Guinea,0.0
8th Oldest Child Age,79,0.0
10th Oldest Child Age,4,0.0
8th Oldest Child Age,80,0.0
Country of Birth,Heard Island and McDonald Islands,0.0
Country of Birth,Isle of Man,0.0
Country of Birth,Jersey,0.0
Country of Birth,Kiribati,0.0
10th Oldest Child Age,1,0.0
Country of Birth,Lao People's Democratic Republic,0.0
10th Oldest Child Age,3,0.0
Country of Birth,Liechtenstein,0.0
Oldest Child Age,51,0.0
9th Oldest Child Age,13,0.0
Oldest Child Age,53,0.0
9th Oldest Child Age,65,0.0
Job Title,Delete (1),0.0
Job Title,Delete (2),0.0
2nd Oldest Child Age,29,0.0
2nd Oldest Child Age,30,0.0
2nd Oldest Child Age,31,0.0
5th Oldest Child Age,4,0.0
2nd Oldest Child Age,32,0.0
2nd Oldest Child Age,33,0.0
2nd Oldest Child Age,34,0.0
2nd Oldest Child Age,35,0.0
2nd Oldest Child Age,36,0.0
9th Oldest Child Age,80,0.0
9th Oldest Child Age,79,0.0
9th Oldest Child Age,78,0.0
9th Oldest Child Age,77,0.0
9th Oldest Child Age,76,0.0
9th Oldest Child Age,75,0.0
9th Oldest Child Age,74,0.0
9th Oldest Child Age,73,0.0
9th Oldest Child Age,72,0.0
9th Oldest Child Age,71,0.0
9th Oldest Child Age,70,0.0
9th Oldest Child Age,69,0.0
9th Oldest Child Age,68,0.0
9th Oldest Child Age,67,0.0
2nd Oldest Child Age,28,0.0
2nd Oldest Child Age,27,0.0
2nd Oldest Child Age,26,0.0
5th Oldest Child Age,29,0.0
5th Oldest Child Age,40,0.0
5th Oldest Child Age,39,0.0
5th Oldest Child Age,38,0.0
5th Oldest Child Age,37,0.0
5th Oldest Child Age,36,0.0
5th Oldest Child Age,35,0.0
5th Oldest Child Age,34,0.0
5th Oldest Child Age,33,0.0
5th Oldest Child Age,32,0.0
5th Oldest Child Age,31,0.0
5th Oldest Child Age,30,0.0
5th Oldest Child Age,28,0.0
2nd Oldest Child Age,25,0.0
5th Oldest Child Age,27,0.0
5th Oldest Child Age,26,0.0
5th Oldest Child Age,25,0.0
5th Oldest Child Age,24,0.0
5th Oldest Child Age,23,0.0
5th Oldest Child Age,22,0.0
5th Oldest Child Age,21,0.0
5th Oldest Child Age,20,0.0
5th Oldest Child Age,19,0.0
5th Oldest Child Age,18,0.0
2nd Oldest Child Age,24,0.0
9th Oldest Child Age,66,0.0
9th Oldest Child Age,64,0.0
9th Oldest Child Age,3,0.0
9th Oldest Child Age,63,0.0
9th Oldest Child Age,34,0.0
9th Oldest Child Age,33,0.0
9th Oldest Child Age,32,0.0
9th Oldest Child Age,31,0.0
9th Oldest Child Age,30,0.0
9th Oldest Child Age,29,0.0
9th Oldest Child Age,28,0.0
9th Oldest Child Age,27,0.0
9th Oldest Child Age,26,0.0
9th Oldest Child Age,25,0.0
9th Oldest Child Age,24,0.0
9th Oldest Child Age,23,0.0
9th Oldest Child Age,22,0.0
9th Oldest Child Age,21,0.0
9th Oldest Child Age,20,0.0
9th Oldest Child Age,19,0.0
9th Oldest Child Age,18,0.0
9th Oldest Child Age,16,0.0
9th Oldest Child Age,14,0.0
9th Oldest Child Age,12,0.0
9th Oldest Child Age,9,0.0
9th Oldest Child Age,8,0.0
9th Oldest Child Age,7,0.0
9th Oldest Child Age,6,0.0
9th Oldest Child Age,5,0.0
9th Oldest Child Age,35,0.0
9th Oldest Child Age,36,0.0
9th Oldest Child Age,37,0.0
9th Oldest Child Age,51,0.0
9th Oldest Child Age,62,0.0
9th Oldest Child Age,61,0.0
9th Oldest Child Age,60,0.0
9th Oldest Child Age,59,0.0
9th Oldest Child Age,58,0.0
9th Oldest Child Age,57,0.0
9th Oldest Child Age,56,0.0
9th Oldest Child Age,55,0.0
9th Oldest Child Age,54,0.0
9th Oldest Child Age,53,0.0
9th Oldest Child Age,52,0.0
9th Oldest Child Age,50,0.0
9th Oldest Child Age,38,0.0
9th Oldest Child Age,49,0.0
9th Oldest Child Age,48,0.0
9th Oldest Child Age,47,0.0
9th Oldest Child Age,46,0.0
9th Oldest Child Age,45,0.0
9th Oldest Child Age,44,0.0
9th Oldest Child Age,43,0.0
9th Oldest Child Age,42,0.0
Oldest Child Age,54,0.0
9th Oldest Child Age,40,0.0
9th Oldest Child Age,39,0.0
5th Oldest Child Age,41,0.0
5th Oldest Child Age,42,0.0
5th Oldest Child Age,43,0.0
5th Oldest Child Age,44,0.0
6th Oldest Child Age,52,0.0
6th Oldest Child Age,51,0.0
6th Oldest Child Age,50,0.0
6th Oldest Child Age,49,0.0
6th Oldest Child Age,48,0.0
6th Oldest Child Age,47,0.0
6th Oldest Child Age,46,0.0
6th Oldest Child Age,45,0.0
6th Oldest Child Age,44,0.0
6th Oldest Child Age,43,0.0
6th Oldest Child Age,42,0.0
6th Oldest Child Age,41,0.0
6th Oldest Child Age,40,0.0
6th Oldest Child Age,39,0.0
6th Oldest Child Age,38,0.0
6th Oldest Child Age,37,0.0
6th Oldest Child Age,36,0.0
6th Oldest Child Age,35,0.0
6th Oldest Child Age,34,0.0
6th Oldest Child Age,33,0.0
6th Oldest Child Age,32,0.0
6th Oldest Child Age,31,0.0
6th Oldest Child Age,30,0.0
6th Oldest Child Age,29,0.0
6th Oldest Child Age,28,0.0
6th Oldest Child Age,53,0.0
6th Oldest Child Age,54,0.0
6th Oldest Child Age,55,0.0
6th Oldest Child Age,69,0.0
6th Oldest Child Age,80,0.0
6th Oldest Child Age,79,0.0
6th Oldest Child Age,78,0.0
6th Oldest Child Age,77,0.0
6th Oldest Child Age,76,0.0
6th Oldest Child Age,75,0.0
6th Oldest Child Age,74,0.0
6th Oldest Child Age,73,0.0
6th Oldest Child Age,72,0.0
6th Oldest Child Age,71,0.0
6th Oldest Child Age,70,0.0
6th Oldest Child Age,68,0.0
6th Oldest Child Age,56,0.0
6th Oldest Child Age,67,0.0
6th Oldest Child Age,66,0.0
6th Oldest Child Age,65,0.0
6th Oldest Child Age,64,0.0
6th Oldest Child Age,63,0.0
6th Oldest Child Age,62,0.0
6th Oldest Child Age,61,0.0
6th Oldest Child Age,60,0.0
6th Oldest Child Age,59,0.0
6th Oldest Child Age,58,0.0
6th Oldest Child Age,57,0.0
6th Oldest Child Age,27,0.0
6th Oldest Child Age,26,0.0
6th Oldest Child Age,25,0.0
5th Oldest Child Age,57,0.0
5th Oldest Child Age,68,0.0
5th Oldest Child Age,67,0.0
5th Oldest Child Age,66,0.0
5th Oldest Child Age,65,0.0
5th Oldest Child Age,64,0.0
5th Oldest Child Age,63,0.0
5th Oldest Child Age,62,0.0
5th Oldest Child Age,61,0.0
5th Oldest Child Age,60,0.0
5th Oldest Child Age,59,0.0
5th Oldest Child Age,58,0.0
5th Oldest Child Age,56,0.0
5th Oldest Child Age,70,0.0
5th Oldest Child Age,55,0.0
5th Oldest Child Age,54,0.0
5th Oldest Child Age,53,0.0
5th Oldest Child Age,52,0.0
5th Oldest Child Age,51,0.0
5th Oldest Child Age,50,0.0
5th Oldest Child Age,49,0.0
5th Oldest Child Age,48,0.0
5th Oldest Child Age,47,0.0
5th Oldest Child Age,46,0.0
5th Oldest Child Age,45,0.0
5th Oldest Child Age,69,0.0
5th Oldest Child Age,71,0.0
6th Oldest Child Age,24,0.0
No. of months been disabled,10,0.0
6th Oldest Child Age,23,0.0
6th Oldest Child Age,22,0.0
6th Oldest Child Age,21,0.0
6th Oldest Child Age,20,0.0
6th Oldest Child Age,19,0.0
6th Oldest Child Age,18,0.0
6th Oldest Child Age,14,0.0
6th Oldest Child Age,7,0.0
6th Oldest Child Age,6,0.0
2nd Oldest Child Age,19,0.0
No. of months been disabled,9,0.0
2nd Oldest Child Age,20,0.0
5th Oldest Child Age,72,0.0
2nd Oldest Child Age,21,0.0
2nd Oldest Child Age,22,0.0
2nd Oldest Child Age,23,0.0
5th Oldest Child Age,80,0.0
5th Oldest Child Age,79,0.0
5th Oldest Child Age,78,0.0
5th Oldest Child Age,77,0.0
5th Oldest Child Age,76,0.0
5th Oldest Child Age,75,0.0
5th Oldest Child Age,74,0.0
5th Oldest Child Age,73,0.0
9th Oldest Child Age,4,0.0
9th Oldest Child Age,41,0.0
4th Oldest Child Age,65,0.0
2nd Oldest Child Age,56,0.0
2nd Oldest Child Age,43,0.0
2nd Oldest Child Age,42,0.0
4th Oldest Child Age,18,0.0
7th Oldest Child Age,9,0.0
4th Oldest Child Age,19,0.0
7th Oldest Child Age,8,0.0
7th Oldest Child Age,7,0.0
7th Oldest Child Age,6,0.0
7th Oldest Child Age,5,0.0
2nd Oldest Child Age,40,0.0
4th Oldest Child Age,20,0.0
4th Oldest Child Age,21,0.0
4th Oldest Child Age,22,0.0
4th Oldest Child Age,23,0.0
2nd Oldest Child Age,41,0.0
4th Oldest Child Age,80,0.0
4th Oldest Child Age,79,0.0
4th Oldest Child Age,78,0.0
4th Oldest Child Age,77,0.0
4th Oldest Child Age,76,0.0
4th Oldest Child Age,75,0.0
7th Oldest Child Age,11,0.0
2nd Oldest Child Age,44,0.0
2nd Oldest Child Age,39,0.0
2nd Oldest Child Age,54,0.0
4th Oldest Child Age,38,0.0
7th Oldest Child Age,24,0.0
7th Oldest Child Age,23,0.0
7th Oldest Child Age,22,0.0
7th Oldest Child Age,21,0.0
7th Oldest Child Age,20,0.0
7th Oldest Child Age,19,0.0
2nd Oldest Child Age,55,0.0
7th Oldest Child Age,18,0.0
2nd Oldest Child Age,53,0.0
2nd Oldest Child Age,45,0.0
2nd Oldest Child Age,52,0.0
2nd Oldest Child Age,51,0.0
2nd Oldest Child Age,50,0.0
7th Oldest Child Age,15,0.0
2nd Oldest Child Age,49,0.0
2nd Oldest Child Age,48,0.0
2nd Oldest Child Age,47,0.0
7th Oldest Child Age,14,0.0
2nd Oldest Child Age,46,0.0
4th Oldest Child Age,74,0.0
4th Oldest Child Age,73,0.0
4th Oldest Child Age,72,0.0
4th Oldest Child Age,47,0.0
4th Oldest Child Age,30,0.0
4th Oldest Child Age,31,0.0
4th Oldest Child Age,32,0.0
4th Oldest Child Age,33,0.0
4th Oldest Child Age,51,0.0
4th Oldest Child Age,50,0.0
4th Oldest Child Age,34,0.0
4th Oldest Child Age,49,0.0
4th Oldest Child Age,48,0.0
4th Oldest Child Age,46,0.0
4th Oldest Child Age,53,0.0
4th Oldest Child Age,45,0.0
4th Oldest Child Age,35,0.0
4th Oldest Child Age,44,0.0
4th Oldest Child Age,43,0.0
4th Oldest Child Age,42,0.0
4th Oldest Child Age,36,0.0
4th Oldest Child Age,41,0.0
4th Oldest Child Age,40,0.0
4th Oldest Child Age,37,0.0
4th Oldest Child Age,52,0.0
4th Oldest Child Age,54,0.0
4th Oldest Child Age,71,0.0
4th Oldest Child Age,64,0.0
4th Oldest Child Age,24,0.0
4th Oldest Child Age,25,0.0
4th Oldest Child Age,70,0.0
4th Oldest Child Age,69,0.0
4th Oldest Child Age,68,0.0
4th Oldest Child Age,67,0.0
4th Oldest Child Age,26,0.0
4th Oldest Child Age,66,0.0
4th Oldest Child Age,27,0.0
4th Oldest Child Age,63,0.0
4th Oldest Child Age,55,0.0
4th Oldest Child Age,28,0.0
4th Oldest Child Age,62,0.0
4th Oldest Child Age,61,0.0
4th Oldest Child Age,60,0.0
4th Oldest Child Age,59,0.0
4th Oldest Child Age,58,0.0
4th Oldest Child Age,57,0.0
4th Oldest Child Age,56,0.0
4th Oldest Child Age,29,0.0
7th Oldest Child Age,26,0.0
7th Oldest Child Age,25,0.0
Oldest Child Age,80,0.0
7th Oldest Child Age,59,0.0
7th Oldest Child Age,65,0.0
7th Oldest Child Age,64,0.0
7th Oldest Child Age,63,0.0
Oldest Child Age,62,0.0
Oldest Child Age,63,0.0
7th Oldest Child Age,62,0.0
7th Oldest Child Age,61,0.0
7th Oldest Child Age,60,0.0
Oldest Child Age,64,0.0
Oldest Child Age,65,0.0
7th Oldest Child Age,67,0.0
7th Oldest Child Age,58,0.0
7th Oldest Child Age,57,0.0
7th Oldest Child Age,56,0.0
7th Oldest Child Age,55,0.0
7th Oldest Child Age,54,0.0
7th Oldest Child Age,53,0.0
7th Oldest Child Age,52,0.0
Oldest Child Age,79,0.0
Oldest Child Age,66,0.0
7th Oldest Child Age,66,0.0
7th Oldest Child Age,68,0.0
7th Oldest Child Age,50,0.0
Oldest Child Age,58,0.0
2nd Oldest Child Age,37,0.0
2nd Oldest Child Age,38,0.0
Oldest Child Age,55,0.0
7th Oldest Child Age,80,0.0
7th Oldest Child Age,79,0.0
Oldest Child Age,56,0.0
7th Oldest Child Age,78,0.0
7th Oldest Child Age,77,0.0
Oldest Child Age,57,0.0
7th Oldest Child Age,76,0.0
7th Oldest Child Age,69,0.0
7th Oldest Child Age,75,0.0
Oldest Child Age,59,0.0
7th Oldest Child Age,74,0.0
Oldest Child Age,60,0.0
7th Oldest Child Age,73,0.0
Oldest Child Age,61,0.0
7th Oldest Child Age,72,0.0
7th Oldest Child Age,71,0.0
7th Oldest Child Age,70,0.0
7th Oldest Child Age,51,0.0
4th Oldest Child Age,39,0.0
7th Oldest Child Age,49,0.0
7th Oldest Child Age,38,0.0
Oldest Child Age,72,0.0
7th Oldest Child Age,48,0.0
7th Oldest Child Age,35,0.0
7th Oldest Child Age,34,0.0
Oldest Child Age,73,0.0
7th Oldest Child Age,33,0.0
7th Oldest Child Age,32,0.0
7th Oldest Child Age,31,0.0
Oldest Child Age,74,0.0
Oldest Child Age,75,0.0
Oldest Child Age,76,0.0
Oldest Child Age,77,0.0
7th Oldest Child Age,30,0.0
7th Oldest Child Age,29,0.0
Oldest Child Age,78,0.0
7th Oldest Child Age,28,0.0
7th Oldest Child Age,27,0.0
7th Oldest Child Age,37,0.0
7th Oldest Child Age,36,0.0
7th Oldest Child Age,39,0.0
Oldest Child Age,68,0.0
Oldest Child Age,71,0.0
7th Oldest Child Age,42,0.0
7th Oldest Child Age,41,0.0
Oldest Child Age,69,0.0
Oldest Child Age,70,0.0
7th Oldest Child Age,43,0.0
7th Oldest Child Age,45,0.0
7th Oldest Child Age,46,0.0
7th Oldest Child Age,47,0.0
Oldest Child Age,67,0.0
7th Oldest Child Age,40,0.0
7th Oldest Child Age,44,0.0
Birth Year,1981.0,-0.007
Snake (Animals (pets or working) owned in household),Yes,-0.008
Telecoms,No,-0.008
For fun (Reasons for having a side job),No,-0.01
9 (Ages of children < 18 in household),No,-0.012
Have a child get married,No,-0.018
Between 6 and 12 months old,No,-0.018
Training and development,No,-0.019
age,54.0,-0.019
Cow (Working animals owned in household),Yes,-0.02
Like or dislike job,It’s only okay, but it’s not the worst,-0.021
13 years old,Yes,-0.022
Disability type,Neither,-0.024
age,50.0,-0.028
Race,Mixed,-0.03
Household size (2),1,-0.035
Household size (1),1.0,-0.035
12,Yes,-0.037
Oldest Child Age,11,-0.041
2nd Oldest Child Age,6,-0.048
Birth Year,1964.0,-0.049
age,57.0,-0.053
New pet timeframe,More than 6 months from now,-0.062
It’s my real passion,Yes,-0.062
Company credit/charge cards,Yes,-0.063
Other (Pets owned in household),No,-0.063
Travel and hotel bookings,Yes,-0.064
Source where most recent pet is from,Farm,-0.067
Profession or job,Commissioned officer,-0.068
11 years old,Yes,-0.07
18 years old or over,Yes,-0.07
MSFT ITDMs and ITIs,You have final or significant decision-making authority related to technology purchases,-0.072
Business (Degree subject studied),No,-0.073
age,18.0,-0.073
To support my family,Yes,-0.076
Who is responsible for choosing work hours,I pick my own hours,-0.079
age,46.0,-0.08
Employment Status,Full-time,-0.081
To give back (Reasons for joining career field),No,-0.083
4 years old,Yes,-0.085
Sold and purchased a house/flat (i.e. in one transaction),Yes,-0.085
Horse or pony (Animals (pets or working) owned in household),No,-0.088
Education,No HS,-0.088
Kid 5 Gender,Not applicable - I do not have a child under 18,-0.093
Child went to University,No,-0.094
Type of school/university currently working for,Private elementary school,-0.095
age,69.0,-0.096
Household - time since last moved,2 to less than 7 months,-0.097
Oldest Child Age,15,-0.097
Profession or job,Systems Administrator,-0.098
General shift hours,Night shift (e.g. 12am – 8am),-0.101
Source where most recent pet is from,Garden centre,-0.105
Advertising / direct marketing / PR,Yes,-0.109
2nd Oldest Child Age,9,-0.109
Who is responsible for choosing work hours,Someone else/ the company decides my hours,-0.113
Guinea pig (Pets owned in household),Yes,-0.115
Grandparent - yes or no,Yes,-0.115
Household size (2),3,-0.117
Household size (1),3.0,-0.117
Designated Market Area (DMA),Springfield - Holyoke,-0.119
Business development / sales,Yes,-0.12
Birth Year,1988.0,-0.122
Individual Income,$40,000 - $49,999,-0.125
Native American,Yes,-0.127
Job Title,Administrator,-0.131
New pet timeframe,Within the next 1 to 3 months,-0.131
Kid 1 Gender,Female,-0.132
Not applicable – I don't work,No,-0.134
Birth of a grandchild,No,-0.135
3 years old,Yes,-0.136
Electricity / gas supply,No,-0.138
I live alone,No,-0.138
Purchase first home,No,-0.139
Age (6-way) 18-24 / 25-34 / 35-44 / 45-54 / 55-64 / 65+,18-24,-0.141
Age (5-way) 18-24 / 25-34 / 35-44 / 45-54 / 55+,18-24,-0.141
Change jobs,Yes,-0.143
Move back into parental home,Yes,-0.143
Fish (including outdoor) (Animals (pets or working) owned in household),No,-0.144
Country of Birth,Tonga,-0.144
7th Oldest Child Age,4,-0.144
Household size (1),17.0,-0.144
Birth Year,1922.0,-0.144
Country of Birth,Barbados,-0.144
9th Oldest Child Age,17,-0.144
Country of Birth,Cyprus,-0.144
Country of Birth,Saint Vincent and the Grenadines,-0.144
8th Oldest Child Age,14,-0.144
8th Oldest Child Age,6,-0.144
Country of Birth,Antigua and Barbuda,-0.144
Household size (1),24.0,-0.144
7th Oldest Child Age,1,-0.144
Country of Birth,Marshall Islands,-0.144
7th Oldest Child Age,13,-0.144
Country of Birth,Botswana,-0.144
9th Oldest Child Age,15,-0.144
Country of Birth,Samoa,-0.144
Country of Birth,Mayotte,-0.144
8th Oldest Child Age,9,-0.144
9th Oldest Child Age,10,-0.144
6th Oldest Child Age,11,-0.144
Country of Birth,Maldives,-0.144
6th Oldest Child Age,16,-0.144
6th Oldest Child Age,9,-0.144
Country of Birth,Palau,-0.144
Country of Birth,Somalia,-0.144
Country of Birth,Togo,-0.144
Country of Birth,Guadeloupe,-0.144
9th Oldest Child Age,2,-0.144
State of Residence,Newfoundland,-0.144
Country of Birth,Tanzania, United Republic of,-0.144
State of Residence,Yukon Territory,-0.144
6th Oldest Child Age,12,-0.144
7th Oldest Child Age,16,-0.144
Household size (1),14.0,-0.144
Birth Year,1921.0,-0.144
5th Oldest Child Age,13,-0.144
Country of Birth,Holy See (Vatican City State),-0.144
Country of Birth,Cook Islands,-0.144
7th Oldest Child Age,17,-0.144
Birth Year,1919.0,-0.144
10th Oldest Child Age,9,-0.144
Country of Birth,Christmas Island,-0.144
State of Residence,Federated States of Micronesia,-0.144
age,97.0,-0.144
8th Oldest Child Age,4,-0.144
9th Oldest Child Age,11,-0.144
Country of Birth,Suriname,-0.144
7th Oldest Child Age,10,-0.144
age,96.0,-0.144
Household size (1),21.0,-0.144
State of Residence,New Brunswick,-0.144
Country of Birth,Slovenia,-0.144
State of Residence,Saskatchewan,-0.144
6th Oldest Child Age,13,-0.144
10th Oldest Child Age,12,-0.144
Country of Birth,Grenada,-0.144
Country of Birth,Macedonia, the former Yugoslav Republic of,-0.144
Country of Birth,Kuwait,-0.144
Country of Birth,Lesotho,-0.144
Country of Birth,Cayman Islands,-0.144
age,99.0,-0.144
Country of Birth,Andorra,-0.145
Allow more free time,Yes,-0.145
Number of children under 18 in household,19.0,-0.146
Country of Birth,Costa Rica,-0.147
5th Oldest Child Age,15,-0.147
Country of Birth,Aruba,-0.147
No. of months been disabled,7,-0.148
Company Size,2-5,-0.148
Designated Market Area (DMA),Victoria,-0.149
Country of Birth,New Zealand,-0.15
Country of Birth,Uzbekistan,-0.15
Living with parent(s),No,-0.151
Other (Degree subject studied),Yes,-0.151
Household size (1),23.0,-0.151
Years Disabled,3,-0.151
Country of Birth,Oman,-0.151
No. of months been disabled,2,-0.151
Goat (Pets owned in household),Yes,-0.151
State of Residence,Maine,-0.152
No. of months been disabled,4,-0.152
Country of Birth,Paraguay,-0.152
Individual Income,$70,000 - $89,999,-0.152
Country of Birth,Angola,-0.153
State of Residence,Not in the U.S. or Canada,-0.153
6th Oldest Child Age,10,-0.153
age,76.0,-0.153
Country of Birth,Iceland,-0.153
NAICS Industry Code,Restaurant, Travel and Lodging,-0.154
Designated Market Area (DMA),Fairbanks,-0.154
Profession or job,Scientific researcher,-0.155
Country of Birth,Bermuda,-0.155
Years Disabled,9,-0.155
Country of Birth,United Arab Emirates,-0.156
Country of Birth,Congo,-0.156
Country of Birth,Latvia,-0.157
Job Title,CIO/CTO,-0.157
Country of Birth,Congo, the Democratic Republic of the,-0.157
3rd Oldest Child Age,18,-0.158
Country of Birth,Guam,-0.159
Marital Status,Divorced,-0.159
Country of Birth,Libyan Arab Jamahiriya,-0.16
10th Oldest Child Age,2,-0.16
French (foreign languages spoken),Yes,-0.16
Marital Status,Never married,-0.16
5th Oldest Child Age,7,-0.161
